DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,505.6,503.45,506.65,495.9,539653
01-APR-2022,492.0,505.0,511.85,488.5,651994
31-MAR-2022,478.1,493.8,499.35,478.1,453002
30-MAR-2022,501.0,481.35,504.95,475.55,1167658
29-MAR-2022,490.45,492.85,496.0,483.35,472508
28-MAR-2022,480.0,490.45,499.5,467.6,1157834
25-MAR-2022,465.5,475.25,477.8,465.0,512120
24-MAR-2022,463.8,461.55,479.9,456.9,458066
23-MAR-2022,472.95,463.5,481.9,461.1,291275
22-MAR-2022,471.0,470.3,477.2,460.6,321879
21-MAR-2022,490.0,474.8,490.0,471.35,416564
17-MAR-2022,463.95,483.2,486.0,463.0,1421968
16-MAR-2022,441.5,459.8,465.95,440.05,937986
15-MAR-2022,424.85,436.25,444.5,424.85,633800
14-MAR-2022,432.9,422.35,438.5,418.9,758321
11-MAR-2022,434.8,430.85,436.45,424.75,346453
10-MAR-2022,430.0,432.85,447.95,430.0,618401
09-MAR-2022,413.1,423.2,432.0,407.6,447485
08-MAR-2022,406.5,409.5,420.0,389.0,800731
07-MAR-2022,426.0,405.8,426.15,401.15,777113
04-MAR-2022,435.0,433.35,442.45,427.5,768102
03-MAR-2022,445.55,438.15,451.05,435.35,342451
02-MAR-2022,441.0,442.75,456.7,440.15,208897
28-FEB-2022,435.0,453.7,457.45,430.5,853386
25-FEB-2022,438.5,440.55,450.35,438.5,741923
24-FEB-2022,432.65,433.45,444.1,428.0,1687387
23-FEB-2022,437.45,450.25,459.6,435.0,1192777
22-FEB-2022,435.0,429.4,446.35,425.75,726924
21-FEB-2022,445.5,446.35,451.8,438.95,801460
18-FEB-2022,444.45,445.5,455.4,444.05,386680
17-FEB-2022,446.0,445.75,457.0,442.55,576086
16-FEB-2022,445.0,443.15,453.0,439.5,554731
15-FEB-2022,436.95,439.8,444.7,427.5,529844
14-FEB-2022,444.55,436.95,450.0,432.3,609391
11-FEB-2022,457.0,454.1,462.95,450.0,496072
10-FEB-2022,464.95,460.95,467.5,455.05,406057
09-FEB-2022,463.0,463.2,465.85,458.0,252056
08-FEB-2022,458.0,459.55,466.65,455.5,490462
07-FEB-2022,467.0,458.25,473.85,453.35,683285
04-FEB-2022,492.5,469.95,493.8,467.3,589399
03-FEB-2022,493.8,491.15,498.0,483.55,391341
02-FEB-2022,488.95,491.7,494.8,487.0,475691
01-FEB-2022,492.0,484.3,501.75,479.0,984060
31-JAN-2022,483.45,488.3,497.45,480.05,646257
28-JAN-2022,496.85,478.7,499.45,472.0,643136
27-JAN-2022,488.0,491.95,496.9,478.15,921118
25-JAN-2022,470.0,500.35,505.45,469.35,1279187
24-JAN-2022,503.0,480.75,504.5,451.45,1935645
21-JAN-2022,507.2,504.7,515.25,498.8,1236234
20-JAN-2022,521.5,514.2,533.7,510.0,1255610
19-JAN-2022,528.0,517.8,528.0,505.1,2255323
18-JAN-2022,537.1,526.65,554.9,522.0,4939545
17-JAN-2022,504.5,512.45,530.2,504.5,2699621
14-JAN-2022,489.6,504.45,510.0,479.0,3965540
13-JAN-2022,474.6,491.4,495.0,467.0,1524993
12-JAN-2022,467.55,471.15,501.65,466.95,4424048
11-JAN-2022,466.95,461.7,479.1,455.3,1351549
10-JAN-2022,467.0,464.75,474.2,461.5,606162
07-JAN-2022,467.5,462.45,472.7,460.3,341095
06-JAN-2022,469.0,463.95,473.95,460.2,344516
05-JAN-2022,472.6,470.95,476.05,465.45,334060
04-JAN-2022,474.7,472.45,486.0,470.0,810008
03-JAN-2022,475.0,472.45,491.5,470.55,840412
31-DEC-2021,467.7,474.75,479.4,467.7,309041
30-DEC-2021,476.4,466.45,477.65,464.0,252332
29-DEC-2021,479.2,474.2,484.45,469.5,369089
28-DEC-2021,475.95,478.35,486.8,472.45,780448
27-DEC-2021,462.45,477.55,482.4,457.95,755365
24-DEC-2021,471.65,467.4,473.95,458.95,452767
23-DEC-2021,459.0,471.65,474.5,457.4,980384
22-DEC-2021,435.0,456.9,462.1,434.95,807963
21-DEC-2021,439.25,433.85,445.0,430.15,395804
20-DEC-2021,441.5,432.7,454.45,424.35,857059
17-DEC-2021,454.7,450.85,458.85,438.25,2351567
16-DEC-2021,453.0,455.3,467.4,449.5,860175
15-DEC-2021,461.95,450.1,463.75,448.0,471463
14-DEC-2021,458.5,461.35,466.6,451.0,493330
13-DEC-2021,474.8,460.6,487.0,458.0,851800
10-DEC-2021,465.0,472.7,479.0,447.0,828179
09-DEC-2021,451.3,467.5,470.1,451.3,808407
08-DEC-2021,444.0,451.0,456.4,442.15,504044
07-DEC-2021,443.0,440.75,446.25,438.2,488579
06-DEC-2021,438.2,439.0,455.5,433.7,1129402
03-DEC-2021,446.6,436.4,451.95,431.0,451461
02-DEC-2021,437.0,446.35,449.9,433.25,638702
01-DEC-2021,425.0,442.75,446.95,417.55,1420390
30-NOV-2021,415.9,421.75,436.8,414.0,1138369
29-NOV-2021,440.2,416.5,442.0,412.3,1045694
26-NOV-2021,463.0,440.2,463.0,437.0,1329017
25-NOV-2021,435.85,467.45,473.95,435.7,1632423
24-NOV-2021,440.0,435.85,448.0,432.5,1025963
23-NOV-2021,436.0,441.2,457.05,431.0,1092859
22-NOV-2021,465.0,441.6,465.0,440.0,911920
18-NOV-2021,468.5,466.75,472.15,452.85,824258
17-NOV-2021,478.5,466.25,485.5,461.2,680539
16-NOV-2021,490.9,479.65,501.6,475.8,834983
15-NOV-2021,514.0,490.95,516.25,486.55,856648
12-NOV-2021,484.0,510.55,517.0,475.3,2044647
11-NOV-2021,515.8,495.7,518.8,492.5,1078907
10-NOV-2021,514.75,514.55,522.0,492.5,2261928
09-NOV-2021,489.0,514.85,517.0,489.0,3867720
08-NOV-2021,474.0,487.85,492.0,464.75,1561090
04-NOV-2021,469.7,470.2,475.0,466.6,223691
03-NOV-2021,466.0,466.0,476.6,462.2,1362387
02-NOV-2021,435.0,463.6,466.5,435.0,2686407
01-NOV-2021,430.85,435.7,442.8,430.0,999332
29-OCT-2021,420.5,426.1,442.0,406.1,1024883
28-OCT-2021,436.7,421.6,436.7,418.0,433461
27-OCT-2021,444.9,432.9,448.4,430.6,1020590
26-OCT-2021,420.8,441.1,445.45,419.95,1156595
25-OCT-2021,442.85,421.0,448.5,417.05,912762
22-OCT-2021,424.0,437.95,443.0,421.1,1527372
21-OCT-2021,437.5,419.35,444.35,416.0,1487167
20-OCT-2021,440.95,433.6,445.65,424.0,937570
19-OCT-2021,450.0,440.75,454.55,435.4,1176979
18-OCT-2021,456.9,450.5,459.3,445.6,763200
14-OCT-2021,463.0,453.55,471.6,451.2,879300
13-OCT-2021,473.5,458.3,475.95,453.5,1097344
12-OCT-2021,481.75,471.0,487.7,467.8,1022931
11-OCT-2021,483.0,484.15,502.0,474.05,2728409
08-OCT-2021,487.0,481.7,491.7,475.15,1064702
07-OCT-2021,467.0,484.6,494.8,467.0,2511785
06-OCT-2021,479.0,457.3,482.0,455.0,850807
05-OCT-2021,483.0,477.0,483.3,475.0,496062
04-OCT-2021,481.0,484.6,492.0,478.0,879818
01-OCT-2021,487.9,480.95,489.0,473.65,1025401
30-SEP-2021,479.2,490.85,496.2,475.9,1960530
29-SEP-2021,465.0,478.15,482.75,460.15,2037043
28-SEP-2021,502.0,474.5,507.3,465.6,3030447
27-SEP-2021,464.0,494.6,503.15,462.5,4918987
24-SEP-2021,459.0,459.1,473.9,450.65,3924263
23-SEP-2021,434.3,456.35,467.7,431.8,5279176
22-SEP-2021,426.0,430.9,446.5,419.0,4488132
21-SEP-2021,396.4,418.85,427.8,394.0,5774056
20-SEP-2021,405.8,395.9,415.4,392.0,1134714
17-SEP-2021,430.0,410.6,442.5,408.0,2312603
16-SEP-2021,430.0,425.8,435.8,423.0,548189
15-SEP-2021,435.0,427.65,437.75,425.0,589163
14-SEP-2021,435.75,433.9,444.4,424.2,969686
13-SEP-2021,429.0,436.0,442.5,428.0,1502952
09-SEP-2021,437.6,429.25,441.45,426.15,1053295
08-SEP-2021,453.0,442.75,455.5,434.0,1892022
07-SEP-2021,487.7,451.2,487.7,450.0,5230670
06-SEP-2021,424.0,479.45,501.9,415.65,10709792
03-SEP-2021,386.0,422.7,436.8,385.8,10331644
02-SEP-2021,372.25,383.15,386.4,363.95,2110523
01-SEP-2021,350.0,372.25,383.35,350.0,3470392
31-AUG-2021,349.9,352.65,354.35,349.4,861054
30-AUG-2021,354.85,347.8,355.8,346.0,487332
27-AUG-2021,348.2,351.7,357.95,348.2,1066385
26-AUG-2021,346.9,350.65,354.0,337.45,584030
25-AUG-2021,342.4,346.9,349.15,338.4,1117472
24-AUG-2021,327.4,339.3,342.4,324.0,280992
23-AUG-2021,332.1,324.0,337.7,315.5,754732
20-AUG-2021,339.0,331.95,342.95,329.0,675572
18-AUG-2021,345.1,344.6,350.45,337.65,604292
17-AUG-2021,340.6,348.35,350.0,339.0,353687
16-AUG-2021,339.7,345.55,350.25,338.95,826206
13-AUG-2021,358.0,338.8,358.0,336.05,640859
12-AUG-2021,362.0,355.0,367.4,350.55,610965
11-AUG-2021,348.1,360.95,372.0,323.65,2410341
10-AUG-2021,352.9,352.5,361.1,343.65,1196607
09-AUG-2021,361.8,352.4,363.25,350.1,426174
06-AUG-2021,358.1,360.15,370.75,357.1,1009817
05-AUG-2021,369.45,358.1,371.05,356.0,793756
04-AUG-2021,372.25,368.2,374.0,362.5,1007630
03-AUG-2021,365.1,372.05,377.8,365.1,4456572
02-AUG-2021,343.7,364.4,369.0,342.5,5278442
30-JUL-2021,339.0,340.65,344.9,335.95,1480292
29-JUL-2021,334.2,340.7,342.5,333.8,792725
28-JUL-2021,339.25,330.7,339.6,326.25,519280
27-JUL-2021,344.3,336.4,352.0,333.0,1428393
26-JUL-2021,348.65,342.55,357.0,338.85,906269
23-JUL-2021,346.65,348.8,356.0,340.25,1642866
22-JUL-2021,334.6,344.4,347.9,331.25,1638847
20-JUL-2021,338.0,329.05,341.8,324.0,1133240
19-JUL-2021,324.4,336.5,348.45,322.0,3879647
16-JUL-2021,319.0,329.65,334.4,311.5,3058698
15-JUL-2021,302.0,318.35,325.95,300.25,4206233
14-JUL-2021,304.5,300.25,305.9,298.8,383218
13-JUL-2021,310.0,303.6,313.0,301.6,1063176
12-JUL-2021,299.0,304.2,306.85,298.0,2263863
09-JUL-2021,291.0,296.35,299.75,290.45,1232923
08-JUL-2021,289.9,289.1,291.1,285.0,505949
07-JUL-2021,289.8,287.5,295.85,286.0,1048545
06-JUL-2021,293.1,288.2,293.8,286.65,991399
05-JUL-2021,289.0,289.25,290.45,286.0,393214
02-JUL-2021,286.5,284.85,290.95,284.2,251520
01-JUL-2021,290.0,285.05,292.2,284.0,236334
30-JUN-2021,294.2,289.55,294.2,288.1,285792
29-JUN-2021,290.0,291.15,296.2,287.5,669686
28-JUN-2021,287.85,289.4,293.5,285.7,306760
25-JUN-2021,291.5,286.8,293.4,286.0,362737
24-JUN-2021,286.2,289.2,291.65,285.85,297791
23-JUN-2021,289.9,286.15,291.5,285.05,268518
22-JUN-2021,295.0,288.4,300.5,284.05,1259456
21-JUN-2021,283.0,292.0,292.7,278.85,709086
18-JUN-2021,283.85,282.05,283.85,274.0,356722
17-JUN-2021,283.0,281.1,286.9,280.1,268060
16-JUN-2021,288.05,284.05,292.95,282.25,457815
15-JUN-2021,290.8,287.95,295.0,286.25,390399
14-JUN-2021,295.0,288.75,295.0,282.25,516289
11-JUN-2021,299.0,293.6,302.0,292.55,521983
10-JUN-2021,290.7,296.75,299.0,290.05,1324973
09-JUN-2021,310.0,288.05,317.0,280.35,5856541
08-JUN-2021,290.5,291.55,293.95,290.45,425473
07-JUN-2021,292.2,288.1,293.0,287.0,392207
04-JUN-2021,288.95,289.25,295.7,287.05,768689
03-JUN-2021,277.0,287.75,293.5,276.0,2837252
02-JUN-2021,272.0,273.05,274.3,271.4,386224
01-JUN-2021,275.45,271.95,275.45,270.0,294995
31-MAY-2021,274.3,273.2,275.8,270.65,778606
28-MAY-2021,270.55,272.3,275.35,270.5,1008880
27-MAY-2021,276.9,270.05,276.9,269.65,569283
26-MAY-2021,268.0,274.45,278.4,267.7,1226381
25-MAY-2021,269.35,266.55,271.5,266.1,252451
24-MAY-2021,270.6,267.4,270.6,266.1,340849
21-MAY-2021,270.0,267.85,271.05,267.0,254367
20-MAY-2021,271.95,267.5,272.5,267.0,300473
19-MAY-2021,269.0,269.9,272.8,268.85,366914
18-MAY-2021,274.0,269.45,274.0,268.65,561356
17-MAY-2021,267.9,270.7,279.0,266.1,1007560
14-MAY-2021,268.6,267.0,271.1,266.45,150560
12-MAY-2021,273.0,268.3,273.0,267.5,192456
11-MAY-2021,268.6,270.55,277.9,268.55,553907
10-MAY-2021,272.05,268.2,274.25,266.7,204790
07-MAY-2021,274.1,272.35,277.4,271.0,190257
06-MAY-2021,273.9,274.1,276.45,270.6,859716
05-MAY-2021,268.0,271.85,273.95,267.85,268218
04-MAY-2021,268.0,267.25,271.9,265.0,487976
03-MAY-2021,270.4,266.65,273.65,263.0,514167
30-APR-2021,273.15,271.85,275.95,271.0,349938
29-APR-2021,280.0,276.05,280.0,274.0,445316
28-APR-2021,277.4,275.65,280.3,275.0,295161
27-APR-2021,275.8,274.5,277.3,273.8,128093
26-APR-2021,278.8,274.35,281.0,272.0,224767
23-APR-2021,273.0,275.75,277.8,271.65,284124
22-APR-2021,273.0,276.75,279.05,272.0,308257
20-APR-2021,284.0,275.1,284.05,273.0,275581
19-APR-2021,286.4,278.65,288.0,276.6,389448
16-APR-2021,305.95,295.15,308.6,290.55,434311
15-APR-2021,297.0,305.95,313.75,289.5,468213
13-APR-2021,295.3,301.05,302.7,290.65,340130
12-APR-2021,307.5,300.9,307.5,287.85,336990
09-APR-2021,310.0,312.1,325.0,306.35,454318
08-APR-2021,313.0,311.5,322.6,310.0,606439
07-APR-2021,308.8,311.05,319.0,305.75,771051
06-APR-2021,301.5,308.45,313.45,299.0,380892
05-APR-2021,306.35,299.45,307.1,292.85,270617
01-APR-2021,306.4,308.85,310.0,300.25,427152
31-MAR-2021,305.0,305.6,308.4,301.15,544724
30-MAR-2021,311.15,309.15,312.0,294.5,427081
26-MAR-2021,308.0,308.1,312.5,303.0,502866
25-MAR-2021,306.95,306.35,309.8,292.5,571583
24-MAR-2021,299.5,304.35,314.9,295.55,1123545
23-MAR-2021,295.0,303.5,305.4,291.5,698310
22-MAR-2021,286.05,299.4,300.5,283.6,883644
19-MAR-2021,278.6,285.6,289.8,269.15,801846
18-MAR-2021,279.5,277.55,283.0,270.0,368986
17-MAR-2021,276.0,276.4,279.5,271.0,271267
16-MAR-2021,288.2,274.65,290.5,272.05,953315
15-MAR-2021,296.3,287.65,296.3,282.1,504351
12-MAR-2021,303.0,293.1,303.5,289.45,1529822
10-MAR-2021,289.95,291.15,297.9,288.2,514187
09-MAR-2021,294.0,287.8,296.7,284.5,1011029
08-MAR-2021,296.9,293.8,304.5,292.1,835179
05-MAR-2021,298.1,295.35,302.25,292.35,268676
04-MAR-2021,300.05,299.55,306.5,297.4,735360
03-MAR-2021,305.75,301.25,308.0,298.5,894325
02-MAR-2021,305.8,302.85,309.95,298.1,1084361
01-MAR-2021,300.5,303.35,307.65,298.75,726733
26-FEB-2021,299.6,298.1,303.5,290.1,1444646
25-FEB-2021,309.0,308.15,311.85,301.1,582885
24-FEB-2021,300.7,306.85,309.5,297.0,1253802
23-FEB-2021,284.9,298.4,307.9,283.95,1680365
22-FEB-2021,297.55,282.05,301.3,280.0,409442
19-FEB-2021,312.0,297.55,313.0,292.6,366284
18-FEB-2021,297.8,311.75,315.0,297.0,2011887
17-FEB-2021,289.95,294.95,299.7,285.6,570937
16-FEB-2021,291.1,284.9,293.7,283.2,421650
15-FEB-2021,289.75,291.1,293.0,285.0,580416
12-FEB-2021,286.0,286.3,287.0,280.5,330179
11-FEB-2021,293.7,286.75,293.7,285.0,490876
10-FEB-2021,284.0,291.7,293.5,280.5,762885
09-FEB-2021,286.0,282.65,290.5,281.55,478569
08-FEB-2021,282.4,283.3,288.0,280.05,230051
05-FEB-2021,285.4,281.1,286.25,278.0,456129
04-FEB-2021,290.85,282.7,291.25,282.0,738709
03-FEB-2021,287.9,290.25,293.9,282.6,441741
02-FEB-2021,283.8,284.25,286.8,278.0,391758
01-FEB-2021,269.0,278.8,282.6,268.95,823543
29-JAN-2021,271.0,267.5,273.5,266.0,527848
28-JAN-2021,278.05,269.2,279.8,267.0,478707
27-JAN-2021,280.0,280.7,283.0,275.5,301322
25-JAN-2021,280.0,278.7,281.95,273.0,149558
22-JAN-2021,281.4,276.15,282.65,271.5,232045
21-JAN-2021,292.0,280.25,292.95,278.2,514417
20-JAN-2021,287.0,290.5,292.0,285.0,272399
19-JAN-2021,281.15,286.05,294.35,281.1,433320
18-JAN-2021,287.0,278.35,288.8,274.5,536003
15-JAN-2021,294.6,289.15,296.8,287.0,277424
14-JAN-2021,293.1,294.6,297.75,292.2,239284
13-JAN-2021,298.8,295.35,304.8,288.2,978988
12-JAN-2021,290.0,296.55,305.1,286.15,1896975
11-JAN-2021,293.5,290.95,293.5,284.05,671844
08-JAN-2021,285.45,286.65,290.2,280.6,2217568
07-JAN-2021,285.95,282.6,288.2,281.2,503751
06-JAN-2021,276.8,280.9,286.0,275.3,1263689
05-JAN-2021,268.15,275.3,280.85,268.15,545219
04-JAN-2021,269.4,272.95,274.0,268.65,428897
01-JAN-2021,267.45,266.8,272.75,265.65,593761
31-DEC-2020,266.5,266.1,270.5,264.5,306042
30-DEC-2020,270.0,264.9,270.9,261.6,639926
29-DEC-2020,275.0,268.2,276.8,267.0,202067
28-DEC-2020,273.95,272.4,275.8,271.0,263088
24-DEC-2020,267.45,266.75,272.5,265.0,298498
23-DEC-2020,258.0,266.0,270.55,258.0,422714
22-DEC-2020,267.0,255.55,268.55,247.85,494162
21-DEC-2020,275.0,267.35,278.8,255.3,515600
18-DEC-2020,274.2,274.7,279.9,273.1,287300
17-DEC-2020,280.5,274.35,280.55,272.2,356422
16-DEC-2020,273.4,279.4,281.4,273.4,1302713
15-DEC-2020,283.0,272.4,283.6,271.5,647446
14-DEC-2020,288.9,281.95,289.3,281.0,396099
11-DEC-2020,289.85,287.85,292.0,281.5,341893
10-DEC-2020,292.6,288.1,295.0,285.85,435589
09-DEC-2020,295.0,292.6,300.0,290.0,815516
08-DEC-2020,290.15,286.95,295.2,284.3,387584
07-DEC-2020,290.8,288.7,294.0,287.25,235369
04-DEC-2020,290.75,289.15,291.4,285.4,214676
03-DEC-2020,292.0,289.3,296.7,286.55,787001
02-DEC-2020,289.9,290.25,295.35,285.5,1005268
01-DEC-2020,270.1,289.45,291.0,266.5,1493498
27-NOV-2020,275.05,267.3,277.55,265.1,738678
26-NOV-2020,276.0,275.05,279.5,274.35,456808
25-NOV-2020,281.45,275.45,285.45,275.0,630702
24-NOV-2020,275.95,279.25,281.9,273.85,1088708
23-NOV-2020,280.0,274.3,284.0,272.6,1206220
20-NOV-2020,279.5,275.0,281.0,271.25,504166
19-NOV-2020,270.25,277.4,289.0,270.25,1674106
18-NOV-2020,258.5,271.8,274.0,258.3,1177952
17-NOV-2020,266.0,260.2,266.0,256.35,439406
14-NOV-2020,263.9,264.35,266.1,263.0,81992
13-NOV-2020,263.0,262.6,263.9,261.0,571396
12-NOV-2020,259.5,260.95,264.9,258.05,912548
11-NOV-2020,255.45,259.4,261.9,254.1,437576
10-NOV-2020,263.0,257.0,265.0,255.55,381121
09-NOV-2020,255.1,259.45,260.5,255.1,617134
06-NOV-2020,251.5,254.8,257.35,251.5,363469
05-NOV-2020,249.7,254.9,256.6,248.6,408873
04-NOV-2020,248.35,247.75,250.9,243.4,151543
03-NOV-2020,246.85,246.35,248.5,245.25,146149
02-NOV-2020,252.9,243.95,254.9,241.2,367429
30-OCT-2020,244.0,250.6,255.9,243.95,430589
29-OCT-2020,243.9,244.55,246.75,241.05,181466
28-OCT-2020,247.9,245.0,249.3,243.05,192392
27-OCT-2020,250.0,246.55,252.0,244.4,329362
26-OCT-2020,255.55,251.45,255.55,249.8,244489
23-OCT-2020,256.9,254.3,259.95,252.1,645390
22-OCT-2020,251.8,254.3,262.35,250.3,1059021
21-OCT-2020,260.95,252.2,262.5,247.35,1073745
20-OCT-2020,253.0,259.95,261.95,250.95,579402
19-OCT-2020,270.0,258.05,271.0,254.6,1098992
16-OCT-2020,249.8,260.4,263.0,245.85,654860
15-OCT-2020,262.0,247.95,263.5,244.2,1078934
14-OCT-2020,253.2,260.9,262.0,247.1,461653
13-OCT-2020,251.8,253.95,256.65,248.85,181311
12-OCT-2020,257.9,251.15,258.85,246.8,192960
09-OCT-2020,263.9,258.25,265.0,256.4,285241
08-OCT-2020,259.0,259.6,264.6,257.65,411251
07-OCT-2020,261.5,259.55,261.5,256.05,232471
06-OCT-2020,255.8,258.0,260.0,255.4,474948
