DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,33.4,33.35,34.3,32.6,4689196
01-APR-2022,31.2,32.75,32.75,31.2,1131849
31-MAR-2022,32.4,31.2,33.5,31.15,5099913
30-MAR-2022,32.75,32.75,35.5,32.75,9113260
29-MAR-2022,34.6,34.45,35.5,34.45,1451514
28-MAR-2022,37.8,36.25,37.85,36.25,1550908
25-MAR-2022,39.0,38.15,40.15,36.1,11492995
24-MAR-2022,34.6,36.65,36.65,34.3,6098725
23-MAR-2022,29.75,33.35,33.35,27.95,16218732
22-MAR-2022,35.0,30.35,35.0,29.7,24152640
21-MAR-2022,38.8,35.65,38.9,35.25,11960545
17-MAR-2022,42.45,38.65,42.45,38.3,11484548
16-MAR-2022,43.05,42.25,43.35,42.1,3994415
15-MAR-2022,44.0,43.05,45.05,42.85,5633099
14-MAR-2022,45.6,44.3,46.05,43.8,6448049
11-MAR-2022,47.4,46.3,47.5,45.8,4929419
10-MAR-2022,49.35,48.65,49.5,48.4,3945883
09-MAR-2022,49.0,48.8,49.3,48.5,1967387
08-MAR-2022,48.5,48.9,49.3,48.25,3355013
07-MAR-2022,49.9,48.65,49.9,48.35,3507003
04-MAR-2022,51.0,49.9,51.0,49.0,5122951
03-MAR-2022,51.0,48.75,51.2,48.1,6300044
02-MAR-2022,51.3,49.7,52.0,49.25,9470370
28-FEB-2022,47.0,49.0,51.7,47.0,16021207
25-FEB-2022,45.0,45.8,46.35,45.0,3370168
24-FEB-2022,46.25,43.15,46.45,42.8,5141913
23-FEB-2022,44.6,47.1,48.0,44.6,4062978
22-FEB-2022,44.2,44.55,45.75,44.2,3223491
21-FEB-2022,47.3,46.15,47.75,46.0,2275301
18-FEB-2022,47.15,46.85,47.3,46.65,1906930
17-FEB-2022,47.95,47.3,48.25,47.0,2357723
16-FEB-2022,46.5,47.7,47.95,46.25,2029471
15-FEB-2022,45.2,45.95,47.25,44.3,2800161
14-FEB-2022,46.55,45.15,46.9,45.0,1588830
11-FEB-2022,47.5,47.15,47.55,47.05,1203520
10-FEB-2022,47.9,47.55,48.0,47.35,1290625
09-FEB-2022,49.4,48.1,49.4,47.8,1209499
08-FEB-2022,47.5,48.2,49.1,47.2,2543549
07-FEB-2022,47.35,47.1,47.9,46.9,1593436
04-FEB-2022,47.6,47.35,47.95,46.5,2518548
03-FEB-2022,49.8,48.2,50.4,47.8,2621444
02-FEB-2022,50.05,49.7,50.3,49.4,1556339
01-FEB-2022,49.1,49.2,55.9,48.55,7929960
31-JAN-2022,49.1,48.7,49.6,48.15,1037589
28-JAN-2022,49.0,48.8,49.25,48.6,889475
27-JAN-2022,48.8,48.2,49.45,47.0,1352733
25-JAN-2022,48.9,48.85,49.4,47.65,1245792
24-JAN-2022,51.1,48.65,51.1,48.4,2446434
21-JAN-2022,51.0,49.85,51.8,49.6,2268402
20-JAN-2022,50.8,49.9,51.25,49.8,1723055
19-JAN-2022,50.45,50.8,51.5,49.65,2139639
18-JAN-2022,51.5,50.5,51.9,50.25,1636380
17-JAN-2022,51.95,51.55,52.0,51.5,1373208
